,date,one_rep_max,mean_reps,routine,completion_rate,total_volume,max_weight,workout_day,primary_lift,days_since_last_workout,days_since_last_workout_day,weekday,age,bodyweight
228,2017-09-14,50.666666666666664,8.0,n/a,1.0,1640.0,40.0,Legs,One-Legged Dumbbell Deadlift,1 days 00:00:00.000000000,91 days 00:00:00.000000000,Thursday,22,189.8
229,2017-09-18,215.83333333333334,6.769230769230769,n/a,1.0,13710.0,185.0,Chest,Flat Barbell Bench Press,4 days 00:00:00.000000000,7 days 00:00:00.000000000,Monday,22,189.8
230,2017-09-20,58.333333333333336,8.23076923076923,n/a,1.0,2760.0,50.0,Back,Pull Up,2 days 00:00:00.000000000,7 days 00:00:00.000000000,Wednesday,22,189.8
231,2017-09-27,57.0,8.0,n/a,1.0,2448.0,45.0,Legs,One-Legged Dumbbell Deadlift,7 days 00:00:00.000000000,13 days 00:00:00.000000000,Wednesday,22,189.8
232,2017-09-28,58.333333333333336,5.533333333333333,n/a,1.0,2780.0,50.0,Back,Pull Up,1 days 00:00:00.000000000,8 days 00:00:00.000000000,Thursday,22,189.8
233,2017-09-29,221.66666666666666,7.222222222222222,n/a,1.0,15310.0,190.0,Chest,Flat Barbell Bench Press,1 days 00:00:00.000000000,11 days 00:00:00.000000000,Friday,22,189.8
234,2017-10-04,64.16666666666667,6.923076923076923,n/a,1.0,3230.0,55.0,Back,Pull Up,5 days 00:00:00.000000000,6 days 00:00:00.000000000,Wednesday,22,189.8
235,2017-10-05,63.333333333333336,8.0,n/a,1.0,2128.0,50.0,Legs,One-Legged Dumbbell Deadlift,1 days 00:00:00.000000000,8 days 00:00:00.000000000,Thursday,22,189.8
236,2017-10-06,227.5,5.615384615384615,n/a,1.0,11895.0,195.0,Chest,Flat Barbell Bench Press,1 days 00:00:00.000000000,7 days 00:00:00.000000000,Friday,22,189.8
237,2017-10-11,64.16666666666667,7.3076923076923075,n/a,1.0,3755.0,55.0,Back,Pull Up,5 days 00:00:00.000000000,7 days 00:00:00.000000000,Wednesday,22,189.8
238,2017-10-12,63.333333333333336,8.166666666666666,n/a,1.0,2850.0,50.0,Legs,One-Legged Dumbbell Deadlift,1 days 00:00:00.000000000,7 days 00:00:00.000000000,Thursday,22,189.8
239,2017-10-13,233.33333333333334,6.5,n/a,1.0,15360.0,200.0,Chest,Flat Barbell Bench Press,1 days 00:00:00.000000000,7 days 00:00:00.000000000,Friday,22,189.8
240,2017-10-18,64.16666666666667,7.3076923076923075,n/a,1.0,4055.0,55.0,Back,Pull Up,5 days 00:00:00.000000000,7 days 00:00:00.000000000,Wednesday,22,189.8
241,2017-10-19,262.5,6.75,n/a,1.0,9145.0,225.0,Legs,Deadlift,1 days 00:00:00.000000000,7 days 00:00:00.000000000,Thursday,22,189.8
242,2017-10-20,245.0,4.666666666666667,n/a,1.0,13415.0,210.0,Chest,Lat Pulldown Pronated,1 days 00:00:00.000000000,7 days 00:00:00.000000000,Friday,22,189.8
243,2017-10-25,66.66666666666667,7.333333333333333,n/a,1.0,3920.0,55.0,Shoulders,Pull Up,5 days 00:00:00.000000000,79 days 00:00:00.000000000,Wednesday,22,189.8
244,2017-10-26,268.3333333333333,4.25,n/a,1.0,13995.0,230.0,Chest,Lat Pulldown Pronated,1 days 00:00:00.000000000,6 days 00:00:00.000000000,Thursday,22,189.8
245,2017-11-03,225.5,3.8,n/a,1.0,3505.0,210.0,Chest,Flat Barbell Bench Press,8 days 00:00:00.000000000,8 days 00:00:00.000000000,Friday,22,189.8
246,2017-11-08,73.33333333333333,7.230769230769231,n/a,1.0,4525.0,60.0,Back,Pull Up,5 days 00:00:00.000000000,21 days 00:00:00.000000000,Wednesday,22,189.8
247,2017-11-10,291.3333333333333,5.166666666666667,n/a,1.0,12415.0,230.0,Chest,Lat Pulldown Pronated,2 days 00:00:00.000000000,7 days 00:00:00.000000000,Friday,22,189.8
248,2017-11-16,73.33333333333333,7.5,n/a,1.0,2730.0,60.0,Shoulders,Pull Up,6 days 00:00:00.000000000,22 days 00:00:00.000000000,Thursday,22,189.8
249,2017-11-17,291.3333333333333,5.166666666666667,n/a,1.0,12415.0,230.0,Chest,Lat Pulldown Pronated,1 days 00:00:00.000000000,7 days 00:00:00.000000000,Friday,22,189.8
250,2017-11-29,215.83333333333334,5.5,n/a,1.0,5380.0,185.0,Chest,Flat Barbell Bench Press,12 days 00:00:00.000000000,12 days 00:00:00.000000000,Wednesday,22,189.8
251,2017-12-08,240.66666666666666,6.066666666666666,n/a,1.0,16735.0,195.0,Chest,Flat Barbell Bench Press,9 days 00:00:00.000000000,9 days 00:00:00.000000000,Friday,22,189.8
252,2017-12-19,253.33333333333334,7.7272727272727275,n/a,1.0,15450.0,200.0,Back,Flat Barbell Bench Press,11 days 00:00:00.000000000,41 days 00:00:00.000000000,Tuesday,22,181.0
253,2017-12-20,253.33333333333334,7.166666666666667,n/a,1.0,15915.0,200.0,Chest,Flat Barbell Bench Press,1 days 00:00:00.000000000,12 days 00:00:00.000000000,Wednesday,22,181.0
254,2017-12-27,245.0,5.363636363636363,n/a,1.0,11085.0,210.0,Chest,Lat Pulldown Pronated,7 days 00:00:00.000000000,7 days 00:00:00.000000000,Wednesday,22,184.0
255,2017-12-28,73.33333333333333,10.416666666666666,n/a,1.0,3165.0,55.0,Shoulders,Incline Dumbbell Press Yoga Ball,1 days 00:00:00.000000000,42 days 00:00:00.000000000,Thursday,22,184.0
