id,date,weekday,last_workout_date,last_category_date,category,primary_lift,volume,mean_reps,completion_rate,age
176,2016-09-19,Monday,4 days 00:00:00.000000000,7 days 00:00:00.000000000,Shoulders,Overhead Press,6792.0,7.666666666666667,1.0,21
177,2016-09-20,Tuesday,1 days 00:00:00.000000000,5 days 00:00:00.000000000,Legs,Barbell Squat,37006.0,10.909090909090908,1.0,21
178,2016-09-26,Monday,6 days 00:00:00.000000000,7 days 00:00:00.000000000,Shoulders,Overhead Press,7027.0,7.944444444444445,1.0,21
179,2016-09-30,Friday,4 days 00:00:00.000000000,10 days 00:00:00.000000000,Legs,Barbell Squat,16120.0,7.714285714285714,1.0,21
180,2016-10-01,Saturday,1 days 00:00:00.000000000,65 days 00:00:00.000000000,Forearms,Dumbbell Hammer Curl,3120.0,10.714285714285714,1.0,21
181,2016-10-03,Monday,2 days 00:00:00.000000000,263 days 00:00:00.000000000,Abs,Undefined Ab Workout,1.0,1.0,1.0,21
182,2016-10-06,Thursday,3 days 00:00:00.000000000,6 days 00:00:00.000000000,Legs,Barbell Squat,8551.0,8.5,1.0,21
183,2016-10-08,Saturday,2 days 00:00:00.000000000,5 days 00:00:00.000000000,Abs,Undefined Ab Workout,1.0,1.0,1.0,21
184,2016-10-17,Monday,9 days 00:00:00.000000000,21 days 00:00:00.000000000,Shoulders,Standing Rear Delt Dumbbell Raise,621.0,7.285714285714286,1.0,21
185,2016-10-21,Friday,4 days 00:00:00.000000000,15 days 00:00:00.000000000,Legs,Barbell Squat,8526.0,4.222222222222222,1.0,21
186,2016-10-22,Saturday,1 days 00:00:00.000000000,42 days 00:00:00.000000000,Chest,Flat Barbell Bench Press,7531.0,4.923076923076923,1.0,21
187,2016-10-24,Monday,2 days 00:00:00.000000000,7 days 00:00:00.000000000,Shoulders,Standing Rear Delt Dumbbell Raise,776.0,8.0,1.0,21
188,2016-10-28,Friday,4 days 00:00:00.000000000,7 days 00:00:00.000000000,Legs,Barbell Squat,9041.0,6.090909090909091,1.0,21
189,2016-10-29,Saturday,1 days 00:00:00.000000000,21 days 00:00:00.000000000,Abs,Undefined Ab Workout,2.0,1.0,1.0,21
