date,routine,category,exercise,sets,reps,avg_intensity,volume,relative_volume
2016-06-29,,Shoulders,Overhead Press,4,42,0.39,2100.0,819.0
2016-06-29,,Triceps,Rope Push Down,4,48,0.45,1440.0,648.0
2016-06-30,,Legs,Barbell Squat,5,50,0.39,5500.0,2145.0
2016-06-30,,Back,Deadlift,5,50,0.43,5750.0,2470.0
2016-06-30,,Legs,Dumbbell Calf Raise,5,125,0.48,15000.0,7200.0
2016-06-30,,Legs,Hip Abduction,6,85,0.42999999999999994,6250.0,2680.0
2016-06-30,,Legs,Hip Adduction,6,85,0.42999999999999994,6250.0,2680.0
2016-07-01,,Biceps,EZ-Bar Preacher Curl,5,60,0.4,2700.0,1080.0
2016-07-01,,Back,Lat Pulldown,5,60,0.4,5100.0,2040.0
2016-07-01,,Shoulders,Rear Delt Machine Fly,5,75,0.43,4500.0,1935.0
2016-07-01,,Back,Seated Cable Row,6,85,0.435,6100.0,2638.0
